HITId,WorkerId,WorkTimeInSeconds,Input.debateID,Input.argID,Input.topic,Input.argument,Answer.comments,Answer.cons_dk.on,Answer.cons_no.on,Answer.cons_yes.on,Answer.stance_con.on,Answer.stance_dk.on,Answer.stance_neither.on,Answer.stance_pro.on
301KG0KX9CLRE8V5SY3S3BAQL112HX,A2541C8MY0BYV3,12,220,con_4_5,Three Gorges Dam,The Three Gorges Dam is a cause of corruption.,,false,false,true,true,false,false,false
301KG0KX9CLRE8V5SY3S3BAQL112HX,A365SN61J4UNGR,16,220,con_4_5,Three Gorges Dam,The Three Gorges Dam is a cause of corruption.,,false,false,true,true,false,false,false
301KG0KX9CLRE8V5SY3S3BAQL112HX,A1ZD8RU6YB0VEU,6,220,con_4_5,Three Gorges Dam,The Three Gorges Dam is a cause of corruption.,,false,true,false,false,false,true,false
301KG0KX9CLRE8V5SY3S3BAQL112HX,A2JCHN90PRUWDH,7,220,con_4_5,Three Gorges Dam,The Three Gorges Dam is a cause of corruption.,,false,true,false,true,false,false,false
301KG0KX9CLRE8V5SY3S3BAQL112HX,A2Y2AZ8DBFU47Q,14,220,con_4_5,Three Gorges Dam,The Three Gorges Dam is a cause of corruption.,,false,false,true,true,false,false,false
301KG0KX9CLRE8V5SY3S3BAQL112HX,A3S5M6R3ZR6ECN,14,220,con_4_5,Three Gorges Dam,The Three Gorges Dam is a cause of corruption.,,false,false,true,true,false,false,false
301KG0KX9CLRE8V5SY3S3BAQL112HX,AK0Y6OITL7VGX,125,220,con_4_5,Three Gorges Dam,The Three Gorges Dam is a cause of corruption.,,false,false,true,true,false,false,false
301KG0KX9CLRE8V5SY3S3BAQL112HX,A3OZ8KF0HWSVWK,124,220,con_4_5,Three Gorges Dam,The Three Gorges Dam is a cause of corruption.,,false,false,true,true,false,false,false
301KG0KX9CLRE8V5SY3S3BAQL112HX,A2XFO0X6RCS98M,82,220,con_4_5,Three Gorges Dam,The Three Gorges Dam is a cause of corruption.,,false,false,true,true,false,false,false
301KG0KX9CLRE8V5SY3S3BAQL112HX,A2EQOFJNKS7RCN,11,220,con_4_5,Three Gorges Dam,The Three Gorges Dam is a cause of corruption.,,false,true,false,true,false,false,false
301KG0KX9CLRE8V5SY3S3BAQL11H2C,A1ZD8RU6YB0VEU,7,20,pro_1_5,Osama Bin Laden Sea Burial,Islamic law flexible to special burials such as Bin Laden's.,,false,true,false,false,false,true,false
301KG0KX9CLRE8V5SY3S3BAQL11H2C,A365SN61J4UNGR,11,20,pro_1_5,Osama Bin Laden Sea Burial,Islamic law flexible to special burials such as Bin Laden's.,,false,true,false,false,false,false,true
301KG0KX9CLRE8V5SY3S3BAQL11H2C,A37JENVKZQ56U6,19,20,pro_1_5,Osama Bin Laden Sea Burial,Islamic law flexible to special burials such as Bin Laden's.,,false,true,false,false,false,false,true
301KG0KX9CLRE8V5SY3S3BAQL11H2C,A2XFO0X6RCS98M,69,20,pro_1_5,Osama Bin Laden Sea Burial,Islamic law flexible to special burials such as Bin Laden's.,,false,true,false,false,false,false,true
301KG0KX9CLRE8V5SY3S3BAQL11H2C,A3OZ8KF0HWSVWK,128,20,pro_1_5,Osama Bin Laden Sea Burial,Islamic law flexible to special burials such as Bin Laden's.,,false,true,false,false,false,false,true
301KG0KX9CLRE8V5SY3S3BAQL11H2C,A3FJ79JZ9MO6GB,6,20,pro_1_5,Osama Bin Laden Sea Burial,Islamic law flexible to special burials such as Bin Laden's.,,false,true,false,false,false,false,true
301KG0KX9CLRE8V5SY3S3BAQL11H2C,AWN1PEZWRQSQ9,8,20,pro_1_5,Osama Bin Laden Sea Burial,Islamic law flexible to special burials such as Bin Laden's.,,false,true,false,false,false,false,true
