100	con_7_1
100	pro_10_1
100	pro_4_3
100	pro_7_1
101	con_5_1
101	con_6_1
101	pro_2_4
101	pro_5_1
101	pro_8_1
102	con_8_4
102	pro_2_2
102	pro_6_1
102	pro_8_2
103	con_10_3
103	pro_14_1
103	pro_2_7
103	pro_4_2
104	con_8_4
104	pro_1_2
104	pro_1_5
104	pro_9_2
106	con_4_1
106	con_6_1
106	con_6_2
106	pro_4_1
106	pro_4_2
106	pro_4_3
107	con_4_2
107	con_6_2
107	pro_8_1
109	con_1_2
109	pro_1_2
010	con_2_2
010	pro_1_4
010	pro_2_2
010	pro_3_4
010	pro_5_1
010	pro_5_2
110	con_3_4
110	con_7_1
110	pro_3_1
110	pro_4_1
110	pro_4_2
111	con_5_1
111	pro_7_6
112	pro_2_3
112	pro_4_2
112	pro_4_3
114	con_1_5
114	con_2_2
114	pro_1_6
116	con_3_4
116	con_4_1
116	pro_2_1
116	pro_2_2
116	pro_3_1
116	pro_3_3
118	con_2_1
118	con_3_1
118	con_7_1
118	pro_2_1
118	pro_5_1
119	con_3_1
119	con_3_3
119	pro_4_1
119	pro_5_1
121	con_10_2
121	con_12_1
121	con_2_2
121	con_9_3
121	pro_13_1
121	pro_3_2
121	pro_4_2
121	pro_7_1
122	pro_7_2
123	con_1_3
123	con_1_5
123	con_5_1
123	pro_2_4
124	con_2_1
124	con_2_2
124	pro_3_1
125	con_2_1
125	pro_2_1
127	con_5_1
127	con_6_5
127	pro_10_1
128	con_2_3
128	con_8_2
129	con_1_1
129	con_1_3
129	con_1_4
129	pro_1_2
130	con_14_1
130	con_7_1
130	pro_14_1
130	pro_5_1
131	con_9_2
131	pro_1_2
132	con_7_1
132	con_8_4
132	con_8_5
132	pro_7_4
132	pro_7_5
132	pro_7_6
133	con_1_3
133	pro_7_1
133	pro_8_1
134	con_4_3
135	con_3_1
135	con_4_1
135	pro_1_2
135	pro_3_2
135	pro_3_3
135	pro_4_1
137	con_5_1
137	con_8_1
137	pro_5_1
137	pro_9_1
138	con_3_2
138	con_4_2
138	pro_2_2
138	pro_2_3
138	pro_3_2
138	pro_5_1
139	con_6_3
139	pro_2_5
013	con_2_1
013	con_7_1
013	con_8_1
013	pro_2_2
013	pro_3_5
013	pro_5_4
140	con_6_3
140	pro_1_5
140	pro_6_1
142	con_3_1
142	pro_1_4
143	pro_3_3
143	pro_4_2
146	con_1_2
146	con_2_2
146	con_2_3
146	con_4_1
146	pro_2_4
146	pro_3_4
146	pro_3_7
148	con_1_1
148	con_2_3
149	con_3_5
150	con_2_4
150	pro_2_1
150	pro_4_1
150	pro_4_2
151	con_10_4
151	con_1_5
151	con_1_6
151	con_4_1
151	pro_10_5
151	pro_3_1
152	con_1_1
152	con_1_2
152	pro_4_2
152	pro_7_3
152	pro_9_2
153	con_5_3
153	con_9_1
153	pro_8_2
154	con_1_4
